moderator,level,outcome,offset,share
gender,Male,trust_multidimensional,0.4101254533985615,0.4779473358195639
gender,Male,trust_post,0.4101254533985615,0.4779473358195639
gender,Male,distrust_post,-0.4101254533985615,0.4779473358195639
gender,Male,funding_perceptions,-1.57195880002765,0.4779473358195639
gender,Male,policy_role_mean,0.6580910367675873,0.4779473358195639
gender,Male,inst_trust_mean,0.4101254533985615,0.4779473358195639
gender,Male,belief_post,-1.6583766105139073,0.4779473358195639
gender,Male,concern_mean,-3.5836693787563934,0.4779473358195639
gender,Male,policy_general,-3.526706426238064,0.4779473358195639
gender,Male,policy_specific_mean,-0.455536906914568,0.4779473358195639
gender,Male,behavior_mean,-2.882669476398686,0.4779473358195639
gender,Male,donation_ams,-0.3570207395637957,0.4779473358195639
gender,Male,newsletter_signup,-0.028928659238347,0.4779473358195639
gender,Female,trust_multidimensional,-0.6585953194747869,0.5122764204076727
gender,Female,trust_post,-0.6585953194747869,0.5122764204076727
gender,Female,distrust_post,0.6585953194747869,0.5122764204076727
gender,Female,funding_perceptions,1.0789177280234674,0.5122764204076727
gender,Female,policy_role_mean,-1.001690193365789,0.5122764204076727
gender,Female,inst_trust_mean,-0.6585953194747869,0.5122764204076727
gender,Female,belief_post,1.245126593824499,0.5122764204076727
gender,Female,concern_mean,3.0144074170097537,0.5122764204076727
gender,Female,policy_general,2.8988445478445617,0.5122764204076727
gender,Female,policy_specific_mean,0.0898305893342684,0.5122764204076727
gender,Female,behavior_mean,2.501778614489349,0.5122764204076727
gender,Female,donation_ams,0.3288266054764299,0.5122764204076727
gender,Female,newsletter_signup,0.0267766098915018,0.5122764204076727
gender,Other,trust_multidimensional,14.46,0.0097762437727634
gender,Other,trust_post,14.46,0.0097762437727634
gender,Other,distrust_post,-14.46,0.0097762437727634
gender,Other,funding_perceptions,20.315513144058144,0.0097762437727634
gender,Other,policy_role_mean,20.31551314405813,0.0097762437727634
gender,Other,inst_trust_mean,14.46,0.0097762437727634
gender,Other,belief_post,15.830997256120945,0.0097762437727634
gender,Other,concern_mean,17.245416002041555,0.0097762437727634
gender,Other,policy_general,20.51608337640824,0.0097762437727634
gender,Other,policy_specific_mean,17.563448935101142,0.0097762437727634
gender,Other,behavior_mean,9.836293493209038,0.0097762437727634
gender,Other,donation_ams,0.2237050312378609,0.0097762437727634
gender,Other,newsletter_signup,0.011185251561893,0.0097762437727634
age_band,18-29,trust_multidimensional,-1.5992888760912967,0.1995921128143621
age_band,18-29,trust_post,-0.31375415104050397,0.1995921128143621
age_band,18-29,distrust_post,1.5992888760912967,0.1995921128143621
age_band,18-29,funding_perceptions,1.6601017866402115,0.1995921128143621
age_band,18-29,policy_role_mean,1.0963218554250176,0.1995921128143621
age_band,18-29,inst_trust_mean,-1.5992888760912967,0.1995921128143621
age_band,18-29,belief_post,3.3008987748817042,0.1995921128143621
age_band,18-29,concern_mean,3.4362694155781024,0.1995921128143621
age_band,18-29,policy_general,4.591689104576614,0.1995921128143621
age_band,18-29,policy_specific_mean,2.381944087412906,0.1995921128143621
age_band,18-29,behavior_mean,1.017831300613079,0.1995921128143621
age_band,18-29,donation_ams,-0.0649719952287841,0.1995921128143621
age_band,18-29,newsletter_signup,0.0580190049286529,0.1995921128143621
age_band,30-44,trust_multidimensional,2.4975032472350023,0.2513649226946912
age_band,30-44,trust_post,3.982227786659016,0.2513649226946912
age_band,30-44,distrust_post,-2.4975032472350023,0.2513649226946912
age_band,30-44,funding_perceptions,0.6972666732384877,0.2513649226946912
age_band,30-44,policy_role_mean,3.922982786721755,0.2513649226946912
age_band,30-44,inst_trust_mean,2.4975032472350023,0.2513649226946912
age_band,30-44,belief_post,1.0080401938097505,0.2513649226946912
age_band,30-44,concern_mean,1.7131634017582014,0.2513649226946912
age_band,30-44,policy_general,1.6160622937791487,0.2513649226946912
age_band,30-44,policy_specific_mean,0.9122075125489868,0.2513649226946912
age_band,30-44,behavior_mean,0.5275196233482516,0.2513649226946912
age_band,30-44,donation_ams,-0.0450140883788052,0.2513649226946912
age_band,30-44,newsletter_signup,0.0259611817994012,0.2513649226946912
age_band,45-59,trust_multidimensional,-0.3612497151031537,0.2534649047244653
age_band,45-59,trust_post,-1.1644709844061365,0.2534649047244653
age_band,45-59,distrust_post,0.3612497151031537,0.2534649047244653
age_band,45-59,funding_perceptions,-1.01184875569723,0.2534649047244653
age_band,45-59,policy_role_mean,-0.5530960564020945,0.2534649047244653
age_band,45-59,inst_trust_mean,-0.3612497151031537,0.2534649047244653
age_band,45-59,belief_post,-0.7513304287687225,0.2534649047244653
age_band,45-59,concern_mean,-0.931206458903152,0.2534649047244653
age_band,45-59,policy_general,-0.6459755737017218,0.2534649047244653
age_band,45-59,policy_specific_mean,-0.7058786235309054,0.2534649047244653
age_band,45-59,behavior_mean,0.0150967102758917,0.2534649047244653
age_band,45-59,donation_ams,-0.07942022896593134,0.2534649047244653
age_band,45-59,newsletter_signup,-0.01216440412401405,0.2534649047244653
age_band,60+,trust_multidimensional,-0.7342058488457756,0.2955780597664814
age_band,60+,trust_post,-2.176132420745321,0.2955780597664814
age_band,60+,distrust_post,0.7342058488457756,0.2955780597664814
age_band,60+,funding_perceptions,-0.8462856080652618,0.2955780597664814
age_band,60+,policy_role_mean,-3.6021855680611146,0.2955780597664814
age_band,60+,inst_trust_mean,-0.7342058488457756,0.2955780597664814
age_band,60+,belief_post,-2.4419383870402647,0.2955780597664814
age_band,60+,concern_mean,-2.9787505311180102,0.2955780597664814
age_band,60+,policy_general,-3.920974943091905,0.2955780597664814
age_band,60+,policy_specific_mean,-1.7788829327891147,0.2955780597664814
age_band,60+,behavior_mean,-1.1488590040168485,0.2955780597664814
age_band,60+,donation_ams,0.1502584510167,0.2955780597664814
age_band,60+,newsletter_signup,-0.05082453248631305,0.2955780597664814
race,White / Caucasian,trust_multidimensional,0.13900057990586545,0.6409729652334935
race,White / Caucasian,trust_post,0.13900057990586545,0.6409729652334935
race,White / Caucasian,distrust_post,-0.13900057990586545,0.6409729652334935
